Patent ID;Al2O3;BaO;Bi2O3;CaO;CeO2;Fe2O3;K2O;La2O3;Li2O;MgO;Na2O;Nb2O5;P2O5;SiO2;SrO;Ta2O5;TiO2;WO3;Y2O3;ZnO;ZrO2
US20240025797A1;0.02;10.39;0;0;0;0;0;0;0;0;13.44;16.32;0;49.88;0.22;0;6.09;0;0;0;3.64
US20240025797A1;0.02;8.94;0;0;0;0;0;0;0;0;13.76;16.31;0;49.9;0.18;0;7.23;0;0;0;3.65
US20240025797A1;0.02;13.34;0;0;0;0;0;0;0;0;11.61;15.95;0;49.86;0.27;0;4.95;0;0;0;3.99
US20240025797A1;0.02;10.38;0;0;0;0;0;0;0;0;12.31;15.94;0;49.88;0.22;0;7.24;0;0;0;4.01
US20240025797A1;0.02;13.31;0;0;0;0;0;0;0;0;10.49;15.57;0;49.86;0.27;0;6.11;0;0;0;4.36
US20240025797A1;0.02;11.83;0;0;0;0;0;0;0;0;10.84;15.58;0;49.87;0.25;0;7.24;0;0;0;4.37
US20240025797A1;0.02;13.27;0;0;0;0;0;0;0;0;9.38;15.2;0;49.85;0.27;0;7.25;0;0;0;4.74
US20240025797A1;0.02;9.9;0;0;0;0;0;0;0;0;12.05;15.82;0;49.89;0.21;0;7.98;0;0;0;4.14
US20240025797A1;0.02;8.46;0;0;0;0;0;0;0;0;12.4;15.82;0;49.9;0.17;0;9.08;0;0;0;4.15
US20240025797A1;0.02;11.33;0;0;0;0;0;0;0;0;10.6;15.45;0;49.87;0.24;0;7.99;0;0;0;4.5
US20240025797A1;0.02;9.88;0;0;0;0;0;0;0;0;10.95;15.45;0;49.9;0.2;0;9.09;0;0;0;4.5
US20240025797A1;0.02;8.45;0;0;0;0;0;0;0;0;11.31;15.45;0;49.9;0.17;0;10.18;0;0;0;4.51
US20240025797A1;0.02;12.77;0;0;0;0;0;0;0;0;9.13;15.08;0;49.87;0.26;0;8;0;0;0;4.86
US20240025797A1;0.02;11.31;0;0;0;0;0;0;0;0;9.5;15.08;0;49.87;0.24;0;9.11;0;0;0;4.86
US20240025797A1;0.02;9.87;0;0;0;0;0;0;0;0;9.86;15.09;0;49.9;0.2;0;10.19;0;0;0;4.86
US20240025797A1;0.02;13.03;0;0;0;0;6.02;0;0;0;7.47;18.04;0;50.12;0.27;0.01;3.01;0;0;0;2.01
US20240025797A1;0.02;14.07;0;0;0;0;5.67;0;0;0;7.65;17.95;0;49.05;0.29;0.01;3.3;0;0;0;1.99
US20240025797A1;0.02;12.38;0;0;0;0;5.41;0;0;0;7.6;16.4;0;50.82;0.25;0;5.13;0;0;0;2
US20240025797A1;0.03;14.91;0;0;0;0;5.42;0;0;0;7.4;17.94;0;48.42;0.31;0.01;3.56;0;0;0;2
US20240025797A1;0.02;13.45;0;0;0;0;5.09;0;0;0;7.27;16.38;0;50.06;0.28;0.01;5.45;0;0;0;1.99
US20240025797A1;0.02;11.97;0;0;0;0;4.99;0;0;0;7.32;15.31;0;51.52;0.25;0;6.62;0;0;0;1.99
US20240025797A1;0.03;15.77;0;0;0;0;5.17;0;0;0;7.17;17.93;0;47.8;0.32;0.01;3.8;0;0;0;1.99
US20240025797A1;0.03;14.26;0;0;0;0;4.85;0;0;0;7.05;16.37;0;49.47;0.29;0.01;5.69;0;0;0;1.99
US20240025797A1;0.02;13.01;0;0;0;0;4.68;0;0;0;7.02;15.28;0;50.76;0.27;0;6.96;0;0;0;1.99
US20240025797A1;0.02;11.58;0;0;0;0;4.6;0;0;0;7.06;14.26;0;52.18;0.24;0;8.06;0;0;0;1.99
US20240025797A1;0.03;16.93;0;0;0;0;4.84;0;0;0;6.82;17.94;0;46.97;0.35;0.01;4.12;0;0;0;1.99
US20240025797A1;0.03;17.81;0;0;0;0;4.58;0;0;0;6.58;17.92;0;46.32;0.37;0.01;4.37;0;0;0;1.99
US20240025797A1;0.03;15.92;0;0;0;0;4.36;0;0;0;6.55;16.35;0;48.27;0.33;0.01;6.19;0;0;0;2
US20240025797A1;0.03;18.7;0;0;0;0;4.32;0;0;0;6.32;17.93;0;45.67;0.39;0.01;4.64;0;0;0;1.99
US20240025797A1;0.03;16.76;0;0;0;0;4.11;0;0;0;6.3;16.34;0;47.67;0.35;0.01;6.44;0;0;0;1.99
US20240025797A1;0.03;15.41;0;0;0;0;3.97;0;0;0;6.3;15.23;0;49.03;0.32;0;7.71;0;0;0;1.99
US20240025797A1;0.03;17.9;0;0;0;0;3.78;0;0;0;5.97;16.32;0;46.83;0.38;0.01;6.78;0;0;0;1.99
